Borough,Sub-Borough Area-PUMA,GeoID-PUMA,censusPUMA,RentBurden_5yearPctChg,RentorIncome_5yearPctChg,HomeOwnershipRate_5yearChange,HousingUnits_5yearChange,HomeOwnerIncome_5yearChange,population5yearChange,povertyRate5yearchange,pctAsian5yearChange,pctBlack5yearChange,pctHisp5yearChange,pctWhite5yearChange,pctGraduation
Queens,Jackson Heights,41,4102,-0.044,0.11,0.126,0.049,0.191,-0.058,-0.349,-0.04,0.212,-0.024,0.108,0.708
Queens,Elmhurst/Corona,42,4107,0.028,0.133,-0.066,0.04,0.1,-0.003,-0.368,-0.062,-0.567,0.155,-0.092,0.711
Queens,Middle Village/Ridgewood,43,4110,-0.165,0.488,-0.066,0.019,0.202,0.137,-0.266,-0.001,0.126,0.112,-0.102,0.84
Queens,Rego Park/Forest Hills,44,4108,-0.109,0.334,0.183,0.008,0.007,0.017,-0.165,0.191,0.977,-0.177,-0.105,0.92
Queens,Flushing/Whitestone,45,4103,-0.088,-0.143,-0.043,-0.024,0.102,-0.045,-0.153,0.082,-0.207,0.063,-0.154,0.771
Queens,Hillcrest/Fresh Meadows,46,4106,-0.096,0.249,0.017,0.042,-0.02,0.058,-0.211,-0.014,0.12,0.245,-0.122,0.855
Queens,Ozone Park/Woodhaven,47,4111,-0.071,0.223,-0.008,-0.054,0.129,-0.124,-0.234,-0.111,0.063,0.083,-0.039,0.778
Queens,South Ozone Park/Howard Beach,48,4113,-0.117,0.217,0.014,0.046,0.13,0.062,-0.179,0.52,-0.212,-0.005,-0.059,0.769
Queens,Bayside/Little Neck,49,4104,-0.135,0.103,-0.043,0.018,0.163,-0.021,-0.139,0.103,0.028,-0.011,-0.125,0.888
Queens,Jamaica,50,4112,-0.134,0.222,0.082,0.04,0.15,-0.019,-0.19,0.186,0.017,-0.226,0.2,0.809
Queens,Queens Village,51,4105,0.035,0.281,0.043,-0.042,0.084,-0.051,-0.202,0.136,0.026,0.004,-0.204,0.878
Queens,Rockaways,52,4114,0.017,0.453,0.09,0.019,0.083,0.137,-0.144,0.127,0.03,-0.03,-0.06,0.782
Staten Island,North Shore,53,3903,-0.082,-0.096,-0.006,0.024,0.313,-0.015,-0.071,0.785,-0.047,0.082,-0.107,0.851
Staten Island,Mid-Island,54,3902,-0.036,0.351,0.032,-0.023,0.129,0.009,-0.258,0.029,-0.047,0.121,-0.047,0.885
Staten Island,South Shore,55,3901,0.142,0.056,0.042,0.046,-0.09,0.031,0.085,0.312,-0.391,-0.083,-0.021,0.925
